Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),前台網站 架構設計,"等待 余小姐 提供使用意見。

交接: Jason (7/18)",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
智能客服推廣 (https://www.notion.so/2402fd085e5f80db9c1cec357c40cb81?pvs=21),合作備忘錄範本,"1.其他公司或個人跟喬思齊合作幫忙銷售智能客服
2.雙方的權利義務
  對方:負責銷售說明簽約
  喬思齊:提供智能客服設定(網址帳密)+一場兩小時的智能客服教學說明
",,"Anita, Echo",2025/07/31,进行中,,,,,,Not started,,,,,,,,,,,,
,Task,,,Echo,2025/07/01,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工資安檢測文件/報價單提供,"請jason/子硯確認
https://chatgpt.com/share/6889d555-5f20-800d-90d8-8c472673c89e ",,Echo,2025/07/31,进行中,,,,,,Not started,,,,,,,,,,,,
宜蘭傳藝園區 (https://www.notion.so/23e2fd085e5f80538e36de91b44e1914?pvs=21),宜蘭傳藝園區智能客服訓練,,,Echo,2025/07/30 → 2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),成績登錄、資訊發布,"前台 測試端 http://truku2025.justhings.com.tw/

後台 測試端: http://truku2025.justhings.com.tw/backend/
帳密: admin / vc",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
金環球+亞買訊 / 移工旅遊 (https://www.notion.so/13d2fd085e5f802dbfd1ca54011690cf?pvs=21),印尼試走團,"提供給 移工雜貨店老闆，成行20人、上限40人。

1. 8/4 (一)  野柳+陽明山，未成行。
原價1500元/人，優惠500元/人。

2. 交接 Echo、惠真 (7/23)

https://drive.google.com/drive/folders/1jOvuTkVBlLZgQ9dR3-kPr-7rSpjmHr4O",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
金環球+亞買訊 / 移工旅遊 (https://www.notion.so/13d2fd085e5f802dbfd1ca54011690cf?pvs=21),螢幕錄影 線上訂購流程,已提供給 亞買訊，協助字幕翻譯,,,2025/06/13,未开始,,,,,,Not started,,,,,,,,,,,,
iii軟體院 高爾夫球智能訓練系統 整合服務代理 (https://www.notion.so/iii-1ac2fd085e5f8000b4fadd4bd5e7c36a?pvs=21),透明貼紙,6/11 (三) 15:00 揚昇球場，施作完成。,,,2025/06/13,未开始,,,,,,Not started,,,,,,,,,,,,
iii軟體院 高爾夫球智能訓練系統 整合服務代理 (https://www.notion.so/iii-1ac2fd085e5f8000b4fadd4bd5e7c36a?pvs=21),模擬器 使用手冊,"6/11 (三) 拍攝相片

製作使用手冊",,,2025/06/13,未开始,,,,,,Not started,,,,,,,,,,,,
iii軟體院 高爾夫球智能訓練系統 整合服務代理 (https://www.notion.so/iii-1ac2fd085e5f8000b4fadd4bd5e7c36a?pvs=21),結案流程,"結案報告、原始數據等，7/18 已提供給軟體院 昭霖哥，已完成履約通知書 (用印與郵寄)。

驗收流程進行中。

https://drive.google.com/drive/folders/1doMbKShsK39bU0QJhg5KoIP6i-CcdgCC",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
